.data
.text
.globl main
main:
	addi 	$fp,$sp,0 
	addi 	$sp,$sp,-16 
	li 	$a0,160 
	li 	$v0,9 
	syscall
	li 	$a0,84 
	sb 	$a0,0($v0) 
	li 	$a0,104 
	sb 	$a0,1($v0) 
	li 	$a0,105 
	sb 	$a0,2($v0) 
	li 	$a0,115 
	sb 	$a0,3($v0) 
	li 	$a0,32 
	sb 	$a0,4($v0) 
	li 	$a0,105 
	sb 	$a0,5($v0) 
	li 	$a0,115 
	sb 	$a0,6($v0) 
	li 	$a0,32 
	sb 	$a0,7($v0) 
	li 	$a0,97 
	sb 	$a0,8($v0) 
	li 	$a0,32 
	sb 	$a0,9($v0) 
	li 	$a0,118 
	sb 	$a0,10($v0) 
	li 	$a0,101 
	sb 	$a0,11($v0) 
	li 	$a0,114 
	sb 	$a0,12($v0) 
	li 	$a0,121 
	sb 	$a0,13($v0) 
	li 	$a0,32 
	sb 	$a0,14($v0) 
	li 	$a0,118 
	sb 	$a0,15($v0) 
	li 	$a0,101 
	sb 	$a0,16($v0) 
	li 	$a0,114 
	sb 	$a0,17($v0) 
	li 	$a0,121 
	sb 	$a0,18($v0) 
	li 	$a0,32 
	sb 	$a0,19($v0) 
	li 	$a0,118 
	sb 	$a0,20($v0) 
	li 	$a0,101 
	sb 	$a0,21($v0) 
	li 	$a0,114 
	sb 	$a0,22($v0) 
	li 	$a0,121 
	sb 	$a0,23($v0) 
	li 	$a0,32 
	sb 	$a0,24($v0) 
	li 	$a0,118 
	sb 	$a0,25($v0) 
	li 	$a0,101 
	sb 	$a0,26($v0) 
	li 	$a0,114 
	sb 	$a0,27($v0) 
	li 	$a0,121 
	sb 	$a0,28($v0) 
	li 	$a0,32 
	sb 	$a0,29($v0) 
	li 	$a0,118 
	sb 	$a0,30($v0) 
	li 	$a0,101 
	sb 	$a0,31($v0) 
	li 	$a0,114 
	sb 	$a0,32($v0) 
	li 	$a0,121 
	sb 	$a0,33($v0) 
	li 	$a0,32 
	sb 	$a0,34($v0) 
	li 	$a0,118 
	sb 	$a0,35($v0) 
	li 	$a0,101 
	sb 	$a0,36($v0) 
	li 	$a0,114 
	sb 	$a0,37($v0) 
	li 	$a0,121 
	sb 	$a0,38($v0) 
	li 	$a0,32 
	sb 	$a0,39($v0) 
	li 	$a0,118 
	sb 	$a0,40($v0) 
	li 	$a0,101 
	sb 	$a0,41($v0) 
	li 	$a0,114 
	sb 	$a0,42($v0) 
	li 	$a0,121 
	sb 	$a0,43($v0) 
	li 	$a0,32 
	sb 	$a0,44($v0) 
	li 	$a0,118 
	sb 	$a0,45($v0) 
	li 	$a0,101 
	sb 	$a0,46($v0) 
	li 	$a0,114 
	sb 	$a0,47($v0) 
	li 	$a0,121 
	sb 	$a0,48($v0) 
	li 	$a0,32 
	sb 	$a0,49($v0) 
	li 	$a0,118 
	sb 	$a0,50($v0) 
	li 	$a0,101 
	sb 	$a0,51($v0) 
	li 	$a0,114 
	sb 	$a0,52($v0) 
	li 	$a0,121 
	sb 	$a0,53($v0) 
	li 	$a0,32 
	sb 	$a0,54($v0) 
	li 	$a0,108 
	sb 	$a0,55($v0) 
	li 	$a0,111 
	sb 	$a0,56($v0) 
	li 	$a0,110 
	sb 	$a0,57($v0) 
	li 	$a0,103 
	sb 	$a0,58($v0) 
	li 	$a0,32 
	sb 	$a0,59($v0) 
	li 	$a0,115 
	sb 	$a0,60($v0) 
	li 	$a0,116 
	sb 	$a0,61($v0) 
	li 	$a0,114 
	sb 	$a0,62($v0) 
	li 	$a0,105 
	sb 	$a0,63($v0) 
	li 	$a0,110 
	sb 	$a0,64($v0) 
	li 	$a0,103 
	sb 	$a0,65($v0) 
	li 	$a0,32 
	sb 	$a0,66($v0) 
	li 	$a0,97 
	sb 	$a0,67($v0) 
	li 	$a0,110 
	sb 	$a0,68($v0) 
	li 	$a0,100 
	sb 	$a0,69($v0) 
	li 	$a0,32 
	sb 	$a0,70($v0) 
	li 	$a0,117 
	sb 	$a0,71($v0) 
	li 	$a0,110 
	sb 	$a0,72($v0) 
	li 	$a0,108 
	sb 	$a0,73($v0) 
	li 	$a0,105 
	sb 	$a0,74($v0) 
	li 	$a0,107 
	sb 	$a0,75($v0) 
	li 	$a0,101 
	sb 	$a0,76($v0) 
	li 	$a0,32 
	sb 	$a0,77($v0) 
	li 	$a0,111 
	sb 	$a0,78($v0) 
	li 	$a0,116 
	sb 	$a0,79($v0) 
	li 	$a0,104 
	sb 	$a0,80($v0) 
	li 	$a0,101 
	sb 	$a0,81($v0) 
	li 	$a0,114 
	sb 	$a0,82($v0) 
	li 	$a0,115 
	sb 	$a0,83($v0) 
	li 	$a0,32 
	sb 	$a0,84($v0) 
	li 	$a0,116 
	sb 	$a0,85($v0) 
	li 	$a0,104 
	sb 	$a0,86($v0) 
	li 	$a0,105 
	sb 	$a0,87($v0) 
	li 	$a0,115 
	sb 	$a0,88($v0) 
	li 	$a0,32 
	sb 	$a0,89($v0) 
	li 	$a0,115 
	sb 	$a0,90($v0) 
	li 	$a0,116 
	sb 	$a0,91($v0) 
	li 	$a0,114 
	sb 	$a0,92($v0) 
	li 	$a0,105 
	sb 	$a0,93($v0) 
	li 	$a0,110 
	sb 	$a0,94($v0) 
	li 	$a0,103 
	sb 	$a0,95($v0) 
	li 	$a0,32 
	sb 	$a0,96($v0) 
	li 	$a0,100 
	sb 	$a0,97($v0) 
	li 	$a0,111 
	sb 	$a0,98($v0) 
	li 	$a0,101 
	sb 	$a0,99($v0) 
	li 	$a0,115 
	sb 	$a0,100($v0) 
	li 	$a0,110 
	sb 	$a0,101($v0) 
	li 	$a0,39 
	sb 	$a0,102($v0) 
	li 	$a0,116 
	sb 	$a0,103($v0) 
	li 	$a0,32 
	sb 	$a0,104($v0) 
	li 	$a0,104 
	sb 	$a0,105($v0) 
	li 	$a0,97 
	sb 	$a0,106($v0) 
	li 	$a0,118 
	sb 	$a0,107($v0) 
	li 	$a0,101 
	sb 	$a0,108($v0) 
	li 	$a0,32 
	sb 	$a0,109($v0) 
	li 	$a0,97 
	sb 	$a0,110($v0) 
	li 	$a0,32 
	sb 	$a0,111($v0) 
	li 	$a0,115 
	sb 	$a0,112($v0) 
	li 	$a0,105 
	sb 	$a0,113($v0) 
	li 	$a0,122 
	sb 	$a0,114($v0) 
	li 	$a0,101 
	sb 	$a0,115($v0) 
	li 	$a0,32 
	sb 	$a0,116($v0) 
	li 	$a0,108 
	sb 	$a0,117($v0) 
	li 	$a0,105 
	sb 	$a0,118($v0) 
	li 	$a0,109 
	sb 	$a0,119($v0) 
	li 	$a0,105 
	sb 	$a0,120($v0) 
	li 	$a0,116 
	sb 	$a0,121($v0) 
	li 	$a0,32 
	sb 	$a0,122($v0) 
	li 	$a0,97 
	sb 	$a0,123($v0) 
	li 	$a0,110 
	sb 	$a0,124($v0) 
	li 	$a0,100 
	sb 	$a0,125($v0) 
	li 	$a0,32 
	sb 	$a0,126($v0) 
	li 	$a0,99 
	sb 	$a0,127($v0) 
	li 	$a0,97 
	sb 	$a0,128($v0) 
	li 	$a0,110 
	sb 	$a0,129($v0) 
	li 	$a0,32 
	sb 	$a0,130($v0) 
	li 	$a0,98 
	sb 	$a0,131($v0) 
	li 	$a0,101 
	sb 	$a0,132($v0) 
	li 	$a0,32 
	sb 	$a0,133($v0) 
	li 	$a0,118 
	sb 	$a0,134($v0) 
	li 	$a0,101 
	sb 	$a0,135($v0) 
	li 	$a0,114 
	sb 	$a0,136($v0) 
	li 	$a0,121 
	sb 	$a0,137($v0) 
	li 	$a0,32 
	sb 	$a0,138($v0) 
	li 	$a0,118 
	sb 	$a0,139($v0) 
	li 	$a0,101 
	sb 	$a0,140($v0) 
	li 	$a0,114 
	sb 	$a0,141($v0) 
	li 	$a0,121 
	sb 	$a0,142($v0) 
	li 	$a0,32 
	sb 	$a0,143($v0) 
	li 	$a0,118 
	sb 	$a0,144($v0) 
	li 	$a0,101 
	sb 	$a0,145($v0) 
	li 	$a0,114 
	sb 	$a0,146($v0) 
	li 	$a0,121 
	sb 	$a0,147($v0) 
	li 	$a0,32 
	sb 	$a0,148($v0) 
	li 	$a0,108 
	sb 	$a0,149($v0) 
	li 	$a0,111 
	sb 	$a0,150($v0) 
	li 	$a0,110 
	sb 	$a0,151($v0) 
	li 	$a0,103 
	sb 	$a0,152($v0) 
	li 	$a0,46 
	sb 	$a0,153($v0) 
	li 	$a0,32 
	sb 	$a0,154($v0) 
	li 	$a0,0 
	sb 	$a0,155($v0) 
	sw 	$v0,-4($fp) 
	li 	$a0,144 
	li 	$v0,9 
	syscall
	li 	$a0,84 
	sb 	$a0,0($v0) 
	li 	$a0,104 
	sb 	$a0,1($v0) 
	li 	$a0,105 
	sb 	$a0,2($v0) 
	li 	$a0,115 
	sb 	$a0,3($v0) 
	li 	$a0,32 
	sb 	$a0,4($v0) 
	li 	$a0,115 
	sb 	$a0,5($v0) 
	li 	$a0,116 
	sb 	$a0,6($v0) 
	li 	$a0,114 
	sb 	$a0,7($v0) 
	li 	$a0,105 
	sb 	$a0,8($v0) 
	li 	$a0,110 
	sb 	$a0,9($v0) 
	li 	$a0,103 
	sb 	$a0,10($v0) 
	li 	$a0,32 
	sb 	$a0,11($v0) 
	li 	$a0,119 
	sb 	$a0,12($v0) 
	li 	$a0,105 
	sb 	$a0,13($v0) 
	li 	$a0,108 
	sb 	$a0,14($v0) 
	li 	$a0,108 
	sb 	$a0,15($v0) 
	li 	$a0,32 
	sb 	$a0,16($v0) 
	li 	$a0,98 
	sb 	$a0,17($v0) 
	li 	$a0,101 
	sb 	$a0,18($v0) 
	li 	$a0,32 
	sb 	$a0,19($v0) 
	li 	$a0,117 
	sb 	$a0,20($v0) 
	li 	$a0,115 
	sb 	$a0,21($v0) 
	li 	$a0,101 
	sb 	$a0,22($v0) 
	li 	$a0,100 
	sb 	$a0,23($v0) 
	li 	$a0,32 
	sb 	$a0,24($v0) 
	li 	$a0,102 
	sb 	$a0,25($v0) 
	li 	$a0,111 
	sb 	$a0,26($v0) 
	li 	$a0,114 
	sb 	$a0,27($v0) 
	li 	$a0,32 
	sb 	$a0,28($v0) 
	li 	$a0,99 
	sb 	$a0,29($v0) 
	li 	$a0,111 
	sb 	$a0,30($v0) 
	li 	$a0,110 
	sb 	$a0,31($v0) 
	li 	$a0,99 
	sb 	$a0,32($v0) 
	li 	$a0,97 
	sb 	$a0,33($v0) 
	li 	$a0,116 
	sb 	$a0,34($v0) 
	li 	$a0,101 
	sb 	$a0,35($v0) 
	li 	$a0,110 
	sb 	$a0,36($v0) 
	li 	$a0,97 
	sb 	$a0,37($v0) 
	li 	$a0,116 
	sb 	$a0,38($v0) 
	li 	$a0,105 
	sb 	$a0,39($v0) 
	li 	$a0,111 
	sb 	$a0,40($v0) 
	li 	$a0,110 
	sb 	$a0,41($v0) 
	li 	$a0,32 
	sb 	$a0,42($v0) 
	li 	$a0,97 
	sb 	$a0,43($v0) 
	li 	$a0,110 
	sb 	$a0,44($v0) 
	li 	$a0,100 
	sb 	$a0,45($v0) 
	li 	$a0,32 
	sb 	$a0,46($v0) 
	li 	$a0,116 
	sb 	$a0,47($v0) 
	li 	$a0,111 
	sb 	$a0,48($v0) 
	li 	$a0,32 
	sb 	$a0,49($v0) 
	li 	$a0,116 
	sb 	$a0,50($v0) 
	li 	$a0,101 
	sb 	$a0,51($v0) 
	li 	$a0,115 
	sb 	$a0,52($v0) 
	li 	$a0,116 
	sb 	$a0,53($v0) 
	li 	$a0,32 
	sb 	$a0,54($v0) 
	li 	$a0,105 
	sb 	$a0,55($v0) 
	li 	$a0,116 
	sb 	$a0,56($v0) 
	li 	$a0,32 
	sb 	$a0,57($v0) 
	li 	$a0,98 
	sb 	$a0,58($v0) 
	li 	$a0,101 
	sb 	$a0,59($v0) 
	li 	$a0,116 
	sb 	$a0,60($v0) 
	li 	$a0,116 
	sb 	$a0,61($v0) 
	li 	$a0,101 
	sb 	$a0,62($v0) 
	li 	$a0,114 
	sb 	$a0,63($v0) 
	li 	$a0,32 
	sb 	$a0,64($v0) 
	li 	$a0,73 
	sb 	$a0,65($v0) 
	li 	$a0,32 
	sb 	$a0,66($v0) 
	li 	$a0,110 
	sb 	$a0,67($v0) 
	li 	$a0,101 
	sb 	$a0,68($v0) 
	li 	$a0,101 
	sb 	$a0,69($v0) 
	li 	$a0,100 
	sb 	$a0,70($v0) 
	li 	$a0,32 
	sb 	$a0,71($v0) 
	li 	$a0,116 
	sb 	$a0,72($v0) 
	li 	$a0,111 
	sb 	$a0,73($v0) 
	li 	$a0,32 
	sb 	$a0,74($v0) 
	li 	$a0,109 
	sb 	$a0,75($v0) 
	li 	$a0,97 
	sb 	$a0,76($v0) 
	li 	$a0,107 
	sb 	$a0,77($v0) 
	li 	$a0,101 
	sb 	$a0,78($v0) 
	li 	$a0,32 
	sb 	$a0,79($v0) 
	li 	$a0,105 
	sb 	$a0,80($v0) 
	li 	$a0,116 
	sb 	$a0,81($v0) 
	li 	$a0,32 
	sb 	$a0,82($v0) 
	li 	$a0,118 
	sb 	$a0,83($v0) 
	li 	$a0,101 
	sb 	$a0,84($v0) 
	li 	$a0,114 
	sb 	$a0,85($v0) 
	li 	$a0,121 
	sb 	$a0,86($v0) 
	li 	$a0,32 
	sb 	$a0,87($v0) 
	li 	$a0,118 
	sb 	$a0,88($v0) 
	li 	$a0,101 
	sb 	$a0,89($v0) 
	li 	$a0,114 
	sb 	$a0,90($v0) 
	li 	$a0,121 
	sb 	$a0,91($v0) 
	li 	$a0,32 
	sb 	$a0,92($v0) 
	li 	$a0,118 
